name	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Badische Neueste Nachrichten	157775.0066308623	-0.004337209226360667	152889			151378	150647	148836	146884	147976	147937	146625	144612	145905	145629	143939	141846	142903	142218	140623	138731	139898	138909	137879	135586	136601	136300	134893	133395	134233	133568	132263	130456	131432	131134	129595	127699	128494	127797	130912	129255	130825	129771	129008	127427	128398	127816	126342	124287
Schwäbische Zeitung	193977.69106180148	-0.0025221204979263352	191301			186743	183058	184057	184962	186386	184629	184884	184065	185590	185296	183513	181275	184520	182153	182490	180985	182667	184838	180958	179750	180692	178860	179747	179040	179131	179601	177427	175937	176617	174405	173916	171857	172070	172615	172070	170851	171627	171859	169270	168716	171906	169381	167968	167121
Lübecker Nachrichten	119114.51585292084	-0.0035415064242574636	112299			114619	111593	112182	113877	113442	111019	111351	113506	112479	109126	109639	111800	111938	107672	108243	110791	109966	106004	105512	108575	107995	104273	104186	107014	106236	102526	102440	105484	105231	100949	100847	103862	103200	99087	100016	103283	102348	98554	97628	101278	100935	96528	95658	98934
Münchner Merkur	286902.2036104529	-0.0019273384517639947	280849			278721	282687	277245	274667	278688	277128	276124	274846	276379	277414	273703	271786	273913	273788	272813	273369	272634	273319	271424	269171	271382	273293	270887	268187	271441	270587	267711	265277	266367	264490	263216	262015	263547	263275	263595	262436	263108	262045	260557	258342	259140	258890	255326	253841
Süddeutsche Zeitung	459959.5629884525	-0.0019216361933341666	429667			437077	437124	442297	430107	445959	440467	444440	436874	446040	445530	442565	432825	444974	444658	443906	431421	447614	450201	448411	439536	445393	444983	442159	429853	435433	445822	438936	423128	428266	436997	430513	415007	418787	431756	436661	412994	411798	420377	418170	403029	400647	418355	397033	379798
Allgemeine Zeitung / Rhein-Main-Presse	229431.63108452325	-0.005005491756242307	221224			216446	216769	214558	209123	213032	210331	208900	204962	208277	205612	205133	201237	204866	203632	202156	197608	201469	199485	197903	194610	196663	195304	195164	191082	192689	191592	191085	186887	189437	186447	187187	183357	185119	183624	183041	179443	182299	180067	179026	174583	175185	178132	177996	169999
Nürnberger Nachrichten	328494.63071749615	-0.004095883908917734	319112			315475	313000	309609	305523	309958	306362	304167	300899	304275	300974	299774	296857	298350	296786	294121	290713	294552	293183	290335	286073	288795	289162	285790	282549	284896	284767	281684	277321	280239	277248	275151	272139	274510	272729	272731	269416	273279	271373	268468	265174	266883	266773	263335	259447
Schwarzwälder Bote	151069.34074085503	-0.00435898727267411	137754			149053	148430	141282	139380	139929	139350	137936	136711	138162	138269	136141	134845	137001	136621	134687	133462	135270	134937	133716	132420	134079	132184	131327	129338	130114	129434	128040	126454	127692	127121	125253	124129	124774	123666	123113	121779	122515	122666	120975	120173	120763	120182	118771	117497
Neue Osnabrücker Zeitung	314958.29988956166	-0.002683082593683534	304611			302056	303707	299850	296710	299370	304966	303211	301743	301590	300535	298944	295944	297851	297331	295546	292582	293720	293349	292019	287431	291099	288993	288311	287309	285758	284970	284202	280271	282626	280528	279468	275373	276211	275385	278179	275102	277342	277020	275576	274371	275756	276512	274703	273104
Nordwest-Zeitung	125552.10176842452	-0.0007985610846135446	126041			125377	123965	123215	123245	124483	122869	122931	123380	123344	122441	123041	123240	124272	122893	123111	123523	124756	122732	122711	122493	122943	121828	121845	121986	122815	121560	121541	121504	122091	120526	120444	120193	120698	119337	122319	121785	121926	121720	120747	121086	121230	120000	119877	119216
Passauer Neue Presse	182240.16965979608	-0.0022504758024531673	178700			177282	176919	175983	175438	175703	175077	174182	173852	173898	173344	173189	173052	173127	172737	172042	171481	171616	171699	170392	169814	169793	170022	169450	168797	168637	169065	167864	166763	167217	166616	165683	165227	164750	164435	164714	163841	164042	163444	162979	161976	161964	161271	160370	159401
Mittelbayerische Zeitung	136419.84446710904	-0.003352385539922	130871			131665	130489	131382	129535	132013	129372	125975	124897	127645	126760	126201	124253	127049	125838	126767	123554	125963	124109	126152	120049	122434	121370	125695	118631	119503	120548	124507	115831	119006	119348	122967	115179	117420	118237	121137	113233	114754	116039	118163	112933	113875	113625	115305	110967
Saarbrücker Zeitung	180058.5481090313	-0.004992488309558101	175363			171292	169283	169111	167575	167184	165378	165098	162911	163057	160794	160445	157891	158707	157030	156341	155353	156557	154596	153580	151088	154508	152550	152388	150116	151932	150765	150208	146442	148984	146964	146771	144570	147327	144321	143562	143858	144572	141900	141024	138825	138890	136125	137399	135099
Stuttgarter Zeitung, Stuttgarter Nachrichten	220237.847945225	-0.0021568247424199366	206730			206209	202234	200683	197284	204499	199716	200604	193576	225324	218676	217683	211951	222558	218470	217165	211419	217326	219317	217988	210650	215965	215350	215511	207430	210226	206982	209970	200235	206783	202492	206264	194398	199709	194908	204454	191338	197269	192754	196328	188321	190250	188001	188889	181706
Trierischer Volksfreund	105126.98577414714	-0.003627282697349526	100353			100730	100254	100246	99654	100228	98709	98732	97534	97970	97570	97854	96755	97156	96558	95491	94483	94603	93836	94252	93026	93523	93113	93008	91834	92561	91929	91736	90703	91758	90906	90720	89371	90520	89339	90187	88215	89327	88432	87848	87096	87271	85963	85849	85132
taz.die tageszeitung	59589.251519486825	-0.001398676370911179	61444			59558	58284	60194	56394	59559	56396	59006	59468	60591	57586	58906	57357	58836	55535	57787	55414	56106	55431	55988	53964	56671	56076	58845	56052	57735	56802	56572	53766	55864	55388	55653	52515	53755	53154	57761	53657	56575	56518	57928	56854	58121	56961	58144	54806
Westdeutsche Allgemeine Zeitung, Neue Ruhr Zeitung, Westfälische Rundschau, Westfahlenpost, Iserlohner Kreisanzeiger und Zeitung	1188692.1071828601	-0.010831727611504787	1052711			1027143	1024345	1001135	984918	993795	990867	973946	961106	958162	952912	935549	919573	916515	919891	897123	873378	894284	874822	875689	845073	860675	850550	843568	817564	818678	804240	811134	787211	807471	774323	776505	750940	764967	740112	732473	711097	720733	693728	678947	653245	656406	634547	629421	608195
Donaukurier	87679.89699033936	-0.0005942748041748828	87750			87778	87479	86936	86380	87129	86900	86499	86129	86707	86260	86148	85733	85991	85867	85882	85686	86187	86421	86227	85910	86536	86620	86504	85939	86441	86077	86103	85473	86168	85561	85555	84833	85684	85078	85628	85093	85372	85514	84932	84437	85022	84960	84934	84687
tz	170128.90970269832	-0.00472582096462853	154465			154695	161288	159518	153233	158354	159660	156381	155289	155007	161573	154611	151468	150980	152158	151206	151419	150118	154474	150603	145890	145038	145138	145391	144570	146255	146149	145052	144082	140093	137696	140135	138567	139099	139309	133646	133648	132741	131417	132361	132687	132114	134692	130650	130075
