title	alias	N0	lambda	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
Das Goldene Blatt		266366	-0.003045488110015624	224634			239279	254862	251375	253651	254486	250282	247748	260351	257247	264714	251577	264237	251935	256069	244825	251672	245469	239405	236993	247968	242739	251411	233764	245808	237623	239205	243538	246110	233602	239122	231459	243495	232051	234641	231850	234767	222665	227357	224373	229519	214902	217218	212017	225497
GOLFmagazin		48062	-0.005048045110576444	39199			38527	39092	40426	36606	41851	41781	41917	42210	40655	39412	37388	36276	35148	53424	58277	54698	48359	47949	52680	52117	41768	42748	41393	41672	40997	32545	48364	49386	29371	31339	45706	43649	27618	28961	41603	40577	25116	27235	42220	37947	24115	27270	37249	37039
Gute Fahrt		124669	-0.01243638420139223	111801			115308	101086	98264	102915	101920	106050	101126	100943	93410	92507	90801	90936	88831	93690	88738	94979	92509	86817	81551	101420	77888	80470	79653	83938	73682	76520	77435	75379	77691	74554	68563	76159	73168	69952	70737	71718	73321	66128	65761	66033	67070	61400	61268	64620
Ein Herz für Tiere		185957	-0.02288024150356433	142034			130602	122928	114076	140435	125442	116406	114151	123789	122406	129589	112819	117538	107772	109385	104158	104282	102578	98357	100615	97631	98381	87431	86405	82243	89821	88185	84008	88606	82157	81163	73005	71434	63742	61169	58723	59442	53646	54135	51215	49438	51674	46941	52240	49688
Das Haus		2005086	-0.002716493549137337	1903613			1933403	1912952	1916299	1916262	1930072	1884200	1915148	1892095	1904605	1868298	1833664	1873880	1874336	1826623	1858553	1830293	1841649	1791691	1798168	1808307	2024783	1803941	1830909	1933941	1883514	1837712	1832597	1950750	1890721	1841004	1824775	1909141	1859333	1774867	1756759	1820622	1781287	1700463	1689458	1738550	1698743	1608245	1594235	1600393
Harvard Businessmanager		27244	-0.0027159419731922338	30101			19423	22171	18811	23026	19578	24006	24416	25373	22854	30643	27258	23286	25093	28605	25223	25311	25105	29328	30040	29662	27730	28889	30777	26462	26598	27770	26229	26067	26593	25213	26938	23477	24154	24363	21836	22199	22645	20470	21740	20438	21425	20482	19944	20509
Heim und Welt		145416	-0.027053897698397753	102155			108906	109555	102661	95027	96334	92614	76871	87085	68140	67384	70885	84108	70176	86334	72394	80013	67897	74778	77612	67359	62952	63825	55844	65653	47744	64054	52187	49636	43017	48437	41780	43177	38776	38548	45209	43300	38331	42007	38449	34633	28181	28253		
Hörzu		1986659	-0.009425720954984172	1897447			1818319	1805332	1750610	1681942	1694125	1673357	1645527	1624559	1632585	1608956	1594106	1568319	1585141	1516533	1553607	1525704	1508287	1493021	1480772	1450673	1455937	1465138	1451098	1433285	1445813	1441753	1412628	1403212	1403860	1383317	1351519	1343485	1341004	1328821	1304092	1293043	1283158	1259142	1214379	1197145	1195621	1186539	1166690	1145541
Junge Familie		290913	-0.0040653068721745594	239240			238745	263661	263622	262835	248862	269305	263909	269599	269447	269683	269701	269310	269212	269252	269355	269013	267444	269315	269277	269612	267406	265638	268346	294091	268997	267469	268868	269163	269659	269109	269528	269565	234623	269132	219167	219163	219250	222119	144328	226275	190678	221852	217079	231149
Impulse		210495	-0.018211975010922348	156655			149405	146505	149360	149906	151740	152983	156402	153974	151947	154462	153027	150451	140131	130561	132778	132468	131561	132233	130873	133819	133316	115354	116054	112228	116390	111497	114350	110387	109608	106239	100954	97120	88700	91379	85690	85797	78946	63606	79827	78630	73172	74295	70631	74493
extra / tour		900098	-0.004053278453263688	853190			829079	884600	803100	889600	844601	734814	793700	891600	838100	748600		874600	864601	765600	835298	896795	882292	768792	847292	898792		752892	857392	907892	788392	625700	686700	712700	705700	646700	702700	748700	743700	659700	718700	755700	783700	682700	738700	771700	794700	697700	754700	785700
JÄGER		25708	0.004445701124743177	29244			30296	31018	27529	27594	29569	29617	27643	27962	27108	27701	25275	25885	26101	27313	25318	26008	28107	29069	27726	28565	30259	27699	27396	27715	30133	31412	30225	28674	34449	32344	29528	32718	33699	33326	29845	32270	35071	33884	30014	33336	36374	33385	26739	32897
Kirche und Leben		164090	-0.014279295157802276	139276			135978	134098	132752	131596	130681	129110	127593	125545	122245	120332	128502	116795	115496	120487	113977	110976	110501	108547	106564	104776	103548	102013	100011	99051	97905	97206	95633	97967	94497	93363	91700	91039	89176	86970	85444	84097	83210	81349	79482	77933	76915	74613	72184	70967
Katholisches Sonntagsblatt		64544	-0.00680027450164198	57205			57995	57855	58124	58122	57978	57385	57103	57258	57463	57218	56844	56275	55891	55410	54908	54550	54434	53904	53739	53137	53142	52130	50891	50679	50708	49948	49517	49222	48806	48519	48041	47619	46933	46108	45390	44900	44585	43942	43539	43563	45750	49954	48298	44526
Konradsblatt		76440	-0.007499050016621162	70788			69630	67576	67093	67869	66769	65809	64773	64493	64589	63638	66155	67121	64524	63129	63261	63025	63072	62391	61893	61834	61728	60265	59703	59545	59355	58894	60094	61175	58027	57120	56401	55799	55378	54747	54069	53542	53007	51970	51232	50682	51261	49243	48448	47597
Kirchenbote des Bistums Osnabrück		38063	-0.008234102222859802	35530			34740	34268	33808	33689	33136	33642	32081	32477	31686	31402	31173	31046	30854	30419	30118	30375	30279	29790	30591	29814	30071	30373	30330	29118	28471	27812	27449	27318	26929	27291	27949	26897	26338	26105	26466	26355	25856	25252	25112	24928	24485	23702	23904	23675
Kirchenzeitung für das Bistum Eichstätt		31673	-0.010935975270536845	28328			27577	27129	26820	26432	26190	25884	25638	25475	25382	25211	25001	24807	24784	24534	24378	24220	23977	23482	23122	22850	22530	22202	21962	21782	21638	21154	20903	20691	20477	20164	19973	19791	19660	19352	19027	18807	18764	18427	18208	18010	17851	17478	17127	16900
